population,detector,representation,budget,n_cells,poison_capture_mean,poison_capture_ci95_low,poison_capture_ci95_high,clean_removal_rate_mean,clean_removal_rate_ci95_low,clean_removal_rate_ci95_high,clean_removed_mean,clean_removed_ci95_low,clean_removed_ci95_high,poison_removed_mean,poison_removed_ci95_low,poison_removed_ci95_high,precision_mean,precision_ci95_low,precision_ci95_high,auroc_mean,auroc_ci95_low,auroc_ci95_high,auprc_mean,auprc_ci95_low,auprc_ci95_high
cicids_matched,isolation_forest,stack,0.05,20,0.07010000000000002,0.06610000000000002,0.07410000000000003,0.05037770575207107,0.04549044856378367,0.055167259000284984,42.2,37.8,46.5,35.05,33.05,37.05,0.4596488606266999,0.43565267400798263,0.48310443608375103,0.5579487773103211,0.5370495176006831,0.5802703673709199,0.40925849007980936,0.39741227965853543,0.421696575085266
cicids_matched,isolation_forest,stack,0.01,20,0.016300000000000002,0.015100000000000002,0.0177,0.014080629028967662,0.01258030600889845,0.015774342328680215,11.8,10.45,13.3,8.15,7.55,8.85,0.41545498231857436,0.3833220316092463,0.4441986399823087,0.5579487773103211,0.5370495176006831,0.5802703673709199,0.40925849007980936,0.39741227965853543,0.421696575085266
cicids_matched,knn_distance,control,0.05,20,0.08850000000000001,0.0824,0.09510000000000002,0.055247529007946404,0.05135203089264484,0.05913779753006101,46.0,43.0,49.1,44.25,41.2,47.55,0.49011071208351786,0.4654221724678277,0.5143349398611262,0.7380407345101023,0.7234095157268386,0.7531888014245497,0.538830093479556,0.5275038628380512,0.5504021350320405
cicids_matched,knn_distance,control,0.01,20,0.014600000000000002,0.012400000000000003,0.016900000000000005,0.013492535423667365,0.009950917914650515,0.017047033301639335,11.0,8.3,13.65,7.3,6.2,8.45,0.46543276967893343,0.39360644594731076,0.5433708246351309,0.7380407345101023,0.7234095157268386,0.7531888014245497,0.538830093479556,0.5275038628380512,0.5504021350320405
cicids_matched,knn_distance,stack,0.05,20,0.07320000000000002,0.06680000000000001,0.08020000000000002,0.0562430998402763,0.05048835543306794,0.06185357256754083,46.4,42.65,49.8,36.6,33.4,40.1,0.44079984566384933,0.41807219560896275,0.46274974150940007,0.7078254617749364,0.691352417950407,0.7242725157952882,0.5011183899661551,0.488876532052485,0.5134234315942351
cicids_matched,knn_distance,stack,0.01,20,0.018000000000000006,0.016100000000000003,0.02,0.012915330164777517,0.011643620360636715,0.014168135090485885,10.8,9.7,12.0,9.0,8.05,10.0,0.45510515868127693,0.43010180376306134,0.4797894883080042,0.7078254617749364,0.691352417950407,0.7242725157952882,0.5011183899661551,0.488876532052485,0.5134234315942351
cicids_scale,isolation_forest,control,0.05,5,0.09359999999999999,0.06499999999999999,0.1226,0.0686265860987235,0.03851334475728704,0.09873982744016,564.0,388.4,739.6,468.0,325.0,613.0,0.4540147939364248,0.44380722790683713,0.4643093767978117,0.6437596264757433,0.5236724894966944,0.7105714316100091,0.4612005877435978,0.343169678406036,0.5280850421666498
cicids_scale,isolation_forest,control,0.01,5,0.01696,0.0098,0.02412,0.01257420900133337,0.005875852284474909,0.019272565718191824,103.2,60.2,146.2,84.8,49.0,120.6,0.44952094645011886,0.3784392228931478,0.5075757575757576,0.6437596264757433,0.5236724894966944,0.7105714316100091,0.4612005877435978,0.343169678406036,0.5280850421666498
cicids_scale,isolation_forest,stack,0.05,5,0.09863999999999999,0.06832,0.12896000000000002,0.06981583751670792,0.0405661441395058,0.09906553089391004,574.2,405.2,743.8,493.2,341.6,644.8,0.4610566393918602,0.4495833634767282,0.46870166695461035,0.5689522772834721,0.48686321477776673,0.6205501584739916,0.40436913949365527,0.32881812383779196,0.4455193610066341
cicids_scale,isolation_forest,stack,0.01,5,0.019440000000000002,0.013800000000000002,0.02544,0.013500659020461336,0.0075575438179068585,0.019493389596803478,110.4,74.4,146.4,97.2,69.0,127.2,0.47218610845048675,0.4432800359916234,0.5016317767886632,0.5689522772834721,0.48686321477776673,0.6205501584739916,0.40436913949365527,0.32881812383779196,0.4455193610066341
cicids_scale,knn_distance,control,0.05,5,0.12128000000000001,0.08068,0.16199999999999998,0.06602594915809255,0.038645568323154224,0.09340632999303086,548.4,390.8,708.0,606.4,403.4,810.0,0.519756305152313,0.487383186885585,0.5410581615587013,0.8240923155421042,0.7947996752748134,0.8664956483276466,0.5994404358372205,0.5778634599969085,0.6173360781982213
cicids_scale,knn_distance,control,0.01,5,0.016120000000000002,0.010159999999999999,0.02208,0.010535334491847091,0.005523066152432042,0.015716652179533174,89.2,55.2,123.2,80.6,50.8,110.4,0.47577111496466334,0.37273141273141275,0.5572887864823348,0.8240923155421042,0.7947996752748134,0.8664956483276466,0.5994404358372205,0.5778634599969085,0.6173360781982213
cicids_scale,knn_distance,stack,0.05,5,0.0992,0.07132000000000001,0.12708,0.0686940781002637,0.03958835333054632,0.09867255451431552,564.0,389.0,739.0,496.0,356.6,635.4,0.47097293575225124,0.4561940140056686,0.48715910304387566,0.8224272613698222,0.7958007409676323,0.86006441647505,0.5816963253218026,0.5640814549880631,0.5991182367532412
cicids_scale,knn_distance,stack,0.01,5,0.01904,0.01284,0.025239999999999995,0.014673501080383294,0.007992226536534969,0.021169594853497193,117.4,74.4,160.4,95.2,64.2,126.2,0.4585828029950615,0.42199218923356857,0.5055578238236194,0.8224272613698222,0.7958007409676323,0.86006441647505,0.5816963253218026,0.5640814549880631,0.5991182367532412
